year,sex,level_of_school,age,no_of_principals
2000,MF,SECONDARY,45 - 49,34
2000,F,SECONDARY,45 - 49,22
2000,MF,SECONDARY,50 - 54,51
2000,F,SECONDARY,50 - 54,29
2000,MF,SECONDARY,55 & ABOVE,26
2000,F,SECONDARY,55 & ABOVE,12
2001,MF,PRE-UNIVERSITY,30 - 34,0
2001,F,PRE-UNIVERSITY,30 - 34,0
2001,MF,PRE-UNIVERSITY,35 - 39,0
2001,F,PRE-UNIVERSITY,35 - 39,0
2001,MF,PRE-UNIVERSITY,40 - 44,1
2001,F,PRE-UNIVERSITY,40 - 44,0
2001,MF,PRE-UNIVERSITY,45 - 49,2
2001,F,PRE-UNIVERSITY,45 - 49,1
2001,MF,PRE-UNIVERSITY,50 - 54,6
2001,F,PRE-UNIVERSITY,50 - 54,5
2001,MF,PRE-UNIVERSITY,55 & ABOVE,8
2001,F,PRE-UNIVERSITY,55 & ABOVE,7
2001,MF,PRIMARY,30 - 34,0
2001,F,PRIMARY,30 - 34,0
2001,MF,PRIMARY,35 - 39,2
2001,F,PRIMARY,35 - 39,1
2001,MF,PRIMARY,40 - 44,30
2001,F,PRIMARY,40 - 44,21
2001,MF,PRIMARY,45 - 49,21
2001,F,PRIMARY,45 - 49,20
2001,MF,PRIMARY,50 - 54,86
2001,F,PRIMARY,50 - 54,54
2001,MF,PRIMARY,55 & ABOVE,49
2001,F,PRIMARY,55 & ABOVE,29
2001,MF,SECONDARY,30 - 34,0
2001,F,SECONDARY,30 - 34,0
2001,MF,SECONDARY,35 - 39,10
2001,F,SECONDARY,35 - 39,7
2001,MF,SECONDARY,40 - 44,43
2001,F,SECONDARY,40 - 44,23
2001,MF,SECONDARY,45 - 49,41
2001,F,SECONDARY,45 - 49,25
2001,MF,SECONDARY,50 - 54,43
2001,F,SECONDARY,50 - 54,24
2001,MF,SECONDARY,55 & ABOVE,28
2001,F,SECONDARY,55 & ABOVE,13
2002,MF,PRE-UNIVERSITY,30 - 34,0
2002,F,PRE-UNIVERSITY,30 - 34,0
2002,MF,PRE-UNIVERSITY,35 - 39,1
2002,F,PRE-UNIVERSITY,35 - 39,1
2002,MF,PRE-UNIVERSITY,40 - 44,2
2002,F,PRE-UNIVERSITY,40 - 44,1
2002,MF,PRE-UNIVERSITY,45 - 49,2
2002,F,PRE-UNIVERSITY,45 - 49,1
2002,MF,PRE-UNIVERSITY,50 - 54,6
